compound,mz,rt,,,,,,,,
3_Butenyl_or_methyl_2_propenyl,372.0423,2.52,,,,,,,,
N_pentyl_OI,388.0737,6.47,,,,,,,,
3_methylpentyl_OI,402.0892,8.08,,,,,,,,
N_heptyl_OI,416.105,9.21,,,,,,,,
4_methylthiobutyl,420.0458,5.41,,,,,,,,
3_methylsulfinylpropyl,422.0249,1.27,,,,,,,,
trihydroxybutyl,422.04062,5.41,,,,,,,,
2_phenylethyl,422.058,7.32,,,,,,,,
octyl,430.1205,10.33,,,,,,,,
5_methylthiopentyl,434.0612,7.28,,,,,,,,
4_methylsulfinylbutyl,436.0403,1.29,,,,,,,,
indol_3_ylmethyl,447.05229,6.6,,,,,,,,
indol_3_ylmethyl,447.0532,8.45,,,,,,,,
6_methylthiohexyl,448.0768,8.44,,,,,,,,
5_methylsulfinylpentyl,450.056,1.52,,,,,,,,
trihydroxyhexyl,450.0717,8.43,,,,,,,,
4_methylsulfonylbutyl,452.0353,1.53,,,,,,,,
7_methylthioheptyl,462.0927,9.41,,,,,,,,
hydroxy_indolylmethyl_a,463.0481,6.84,,,,,,,,
hydroxy_indolylmethyl_b,463.0481,6.6,,,,,,,,
6_methylsulfinylhexyl,464.0716,2.03,,,,,,,,
tetrahydroxyhexyl,466.0662,2.03,,,,,,,,
8_methylthiooctyl,476.1081,10.3,,,,,,,,
methoxy_indolylmethyl_a,477.0636,6.46,,,,,,,,
methoxy_indolylmethyl_b,477.0636,7.56,,,,,,,,
methoxy_indolylmethyl_c,477.0636,8.45,,,,,,,,
7_methylsulfinylheptyl,478.0873,3.5,,,,,,,,
tetrahydroxyheptyl,480.0819,3.49,,,,,,,,
hydroxy_methoxy_indolylmethyl,493.0586,8.45,,,,,,,,
4_benzoyloxybutyl_a,494.079,9.05,,,,,,,,
dimethoxyphenpropyl,496.0949,6.36,,,,,,,,
9_methylsulfinylnonyl,506.1186,7.5,,,,,,,,
8_methylsulfonyloctyl,508.0978,7.13,,,,,,,,
387.0411_7.56,387.0411,7.56,,,,,,,,
403.0927_8.12,403.0927,8.12,,,,,,,,
404.084_8.08,404.084,8.08,,,,,,,,
406.03_3.16,406.03,3.16,,,,,,,,
418.0996_9.21,418.0996,9.21,,,,,,,,
421.049_5.41,421.049,5.41,,,,,,,,
424.0198_1.27,424.0198,1.27,,,,,,,,
424.0524_7.32,424.0524,7.32,,,,,,,,
436.056_7.28,436.056,7.28,,,,,,,,
438.0349_1.29,438.0349,1.29,,,,,,,,
439.0383_1.29,439.0383,1.29,,,,,,,,
440.0313_1.29,440.0313,1.29,,,,,,,,
445.0376_6.6,445.0376,6.6,,,,,,,,
446.0453_8.45,446.0453,8.45,,,,,,,,
449.0472_6.6,449.0472,6.6,,,,,,,,
451.0561_6.59,451.0561,6.59,,,,,,,,
451.0593_1.52,451.0593,1.52,,,,,,,,
452.0511_1.52,452.0511,1.52,,,,,,,,
462.0404_7.14,462.0404,7.14,,,,,,,,
463.1453_7.08,463.1453,7.08,,,,,,,,
464.0871_9.42,464.0871,9.42,,,,,,,,
465.0417_6.6,465.0417,6.6,,,,,,,,
470.0766_8.08,470.0766,8.08,,,,,,,,
475.0481_7.56,475.0481,7.56,,,,,,,,
476.0557_7.56,476.0557,7.56,,,,,,,,
476.7273_8.45,476.7273,8.45,,,,,,,,
477.0274_7.55,477.0274,7.55,,,,,,,,
477.5573_7.56,477.5573,7.56,,,,,,,,
478.1027_10.3,478.1027,10.3,,,,,,,,
479.0575_7.56,479.0575,7.56,,,,,,,,
479.0583_8.45,479.0583,8.45,,,,,,,,
479.9835_1.26,479.9835,1.26,,,,,,,,
480.06145_7.56,480.06145,7.56,,,,,,,,
480.06145_8.45,480.06145,8.45,,,,,,,,
484.0533_7.56,484.0533,7.56,,,,,,,,
490.0125_1.26,490.0125,1.26,,,,,,,,
491.0425_8.45,491.0425,8.45,,,,,,,,
491.7505_6.36,491.7505,6.36,,,,,,,,
494.0976_6.37,494.0976,6.37,,,,,,,,
509.0533_7.55,509.0533,7.55,,,,,,,,
515.0403_6.6,515.0403,6.6,,,,,,,,
521.0176_1.3,521.0176,1.3,,,,,,,,
521.9493_1.27,521.9493,1.27,,,,,,,,
522.0205_1.31,522.0205,1.31,,,,,,,,
523.0125_1.3,523.0125,1.3,,,,,,,,
530.079_9.4,530.079,9.4,,,,,,,,
532.0303_6.6,532.0303,6.6,,,,,,,,
535.0336_1.49,535.0336,1.49,,,,,,,,
544.09562_10.3,544.09562,10.3,,,,,,,,
545.05105_8.45,545.05105,8.45,,,,,,,,
551.10045_7.64,551.10045,7.64,,,,,,,,
560.0904_6.36,560.0904,6.36,,,,,,,,
577.08048_6.36,577.08048,6.36,,,,,,,,
845.05681_1.27,845.05681,1.27,,,,,,,,
867.03885_1.27,867.03885,1.27,,,,,,,,
873.08805_1.29,873.08805,1.29,,,,,,,,
873.16238_7.56,873.16238,7.56,,,,,,,,
895.06993_1.29,895.06993,1.29,,,,,,,,
895.11401_6.59,895.11401,6.59,,,,,,,,
917.0958_6.59,917.0958,6.59,,,,,,,,
918.1458_1.29,918.1458,1.29,,,,,,,,
919.09446_6.59,919.09446,6.59,,,,,,,,
940.17132_6.6,940.17132,6.6,,,,,,,,
955.13421_8.44,955.13421,8.44,,,,,,,,
977.11604_8.45,977.11604,8.45,,,,,,,,
1007.19498_6.37,1007.19498,6.37,,,,,,,,