sample,group,mass,plant,sl,le_rgr,JA,SA,ABA
con_1.mzML,ctrl,47,431.1,,,0,37.95590316,0
con_2.mzML,ctrl,46.5,594.2,,,107.506091,32.78125419,0
con_3.mzML,ctrl,49.2,839,,,103.1704441,48.26379164,0.81575556
con_4.mzML,ctrl,51.1,410,,,419.6263898,34.14612194,1.004967416
con_5.mzML,ctrl,50.4,712.3,,,118.2976708,30.56338146,0.880871305
con_6.mzML,ctrl,46,313.5,,,172.5575175,20.06888573,0.696879389
con_7.mzML,ctrl,44.8,617.4,,,189.7770441,44.61194242,1.858610357
con_8.mzML,ctrl,48.6,541,,,89.6239614,29.92614662,0.705351849
sl1_1.mzML,sl1,53.5,475.3,5.29,,548.4420147,40.47801711,5.538514076
sl1_2.mzML,sl1,48.5,166.5,5.09,,2676.902485,61.32994096,74.60520474
sl1_3.mzML,sl1,52.1,238.1,1.27,,1044.833859,51.18721029,4.178328179
sl1_4.mzML,sl1,55.3,425.5,2.18,,287.9102207,41.36205271,3.156682569
sl1_5.mzML,sl1,47.4,366.2,4.62,,808.6067159,43.77946063,3.341284504
sl1_6.mzML,sl1,47.8,395.8,3.07,,3079.155594,55.94669544,5.49697426
sl1_7.mzML,sl1,46.9,356.6,2.74,,1656.535851,42.66825326,9.214407751
sl1_8.mzML,sl1,52.7,344.2,1.65,,435.1332768,44.58489055,1.369704318
le1_1.mzML,le1,47.7,288.4,,26,934.709309,78.83078122,0
le1_2.mzML,le1,52.4,568.3,,10.5,1119.167821,44.63722011,1.476831823
le1_3.mzML,le1,52,527.9,,22,937.304367,127.8237967,4.43368502
le1_4.mzML,le1,47.1,540.4,,30.5,2065.878782,61.80150706,0
le1_5.mzML,le1,46.1,305.1,,27.5,546.0422802,105.1691526,1.610871737
le1_6.mzML,le1,45.6,457,,12.5,887.0291445,125.1305352,0
le1_7.mzML,le1,50.3,452.5,,22,623.1260056,69.76296024,4.101531304
le1_8.mzML,le1,47.7,175.5,,9.5,1243.704076,87.26312978,15.96036024